Comment,Designator,Footprint,LibRef,Quantity,OZDISAN_PRICE,ComponentLink1URL,ComponentLink2URL,ComponentLink12URL,ComponentLink10URL,ComponentLink3URL,ComponentLink4URL,ComponentLink5URL

"100nF","C1, C3, C5, C6, C7, C11, C13, C15","Z0603","CL10B104KB8NNNC","8","0.05 TRY","","","","","","https://ozdisan.com/pasif-komponentler/kondansatorler/smt-smd-ve-mlcc-kondansatorler/CL10B104KB8NNNC",""
"10uF","C2, C4","Z0603","CL10A106KP8NNNC","2","0.60 TRY","","","","","","https://ozdisan.com/Product/Detail/350863/CL10A106KP8NNNC",""
"22pF","C8, C9","Z0603","CL10C220JB8NNNC","2","0.09 TRY","","","","","","","https://ozdisan.com/pasif-komponentler/kondansatorler/smt-smd-ve-mlcc-kondansatorler/CL10C220JB8NNNC"
"1uF","C10, C12, C14","1206 TANTAL CAP","T491A105K035AT","3","1.78 TRY","","","https://ozdisan.com/pasif-komponentler/kondansatorler/tantal-kondansatorler/T491A105K035AT","","","",""
"GREEN","D1","LED-0603","HL-PST-1608U51GC","1","0.22 TRY","https://ozdisan.com/Product/Detail/471660/HL-PST-1608U51GC","","","","","",""
"BLUE","D2","LED-0603","27-21/B7C-ZR1S1N/3C","1","1,46 TRY","https://ozdisan.com/led-ve-aydinlatma-cozumleri/led-komponentler/sinyal-ledler-renkli/27-21B7C-ZR1S1N3C","","","","","",""
"RED","D3","LED-0603","LTST-C190KRKT","1","0.38 TRY","","","","https://ozdisan.com/led-ve-aydinlatma-cozumleri/led-komponentler/sinyal-ledler-renkli/LTST-C190KRKT","","",""
"SS0540_R1_00001","D4","SOD-123","SS0540_R1_00001","1","0.55 TRY","","","","","https://ozdisan.com/guc-yari-iletkenleri/diyotlar-modul-diyotlar-ve-dogrultucular/schottky-diyotlar/SS0540R100001","",""
"FSMD075-0603RZ","F1","F-0603","FSMD075-0603RZ","1","3.16 TRY","https://ozdisan.com/guc-yari-iletkenleri/devre-koruyucu-komponentler/ptc-sigortalar/FSMD075-0603RZ","","","","","",""
"LCB2012-110Y-N","FB1, FB2","C0805","LCB2012-110Y-N","2","0,22 TRY","https://ozdisan.com/pasif-komponentler/induktorler/bead-feritler/LCB2012-110Y-N","","","","","",""
"HEADER-FEMALE-1X6-2.54mm","J1","FEMALE-1X6-2.54MM","PPPC061LFBN-RC","1","","https://media.digikey.com/pdf/Data%20Sheets/Sullins%20PDFs/Female_Headers.100_DS.pdf?src-supplier=Digi-Key","","","","","",""
"2.50 mm","J2","L-KLS1-XL4-2.50-03-R","L-KLS1-XL4-2.50-03-R","1","0,27 TRY","https://ozdisan.com/konnektor-ve-baglanti-elemanlari/konnektor-cesitleri/pcb-konnektorler/L-KLS1-XL4-2-50-03-R","","","","","",""
"22R","R1, R6","Z0603","MC0603SAF220JT5E","2","0.02 TRY","","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0603SAF220JT5E","","","","",""
"1K","R2, R3, R4","Z0603","MC0603SAF1001T5E","3","0.02 TRY","","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0603SAF1001T5E","","","","",""
"10K","R5, R27, R28, R29","Z0603","CQ03SAF1002T5E","4","0.03 TRY","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/CQ03SAF1002T5E","","","","","",""
"1M","R7","Z0603","MC0603SAF1004T5E","1","0.02 TRY","https://datasheet.ciiva.com/7919/ta-677-7919113.pdf?src-supplier=Element14","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0603SAF1004T5E","","","","",""
"100R","R8, R10, R12, R14, R16, R18, R20","Z0603","0603SAJ0101T5E","7","0.02 TRY","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0603SAJ0101T5E","","","","","",""
"4K7","R9, R11, R13, R15, R17, R19","Z0603","MC0603SAF4701T5E","6","0.02 TRY","","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0603SAF4701T5E","","","","",""
"33K","R21, R22, R23, R24, R25, R26","Z0603","RI0603L3302FT","6","0.09 TRY","https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/TC0325B3302T5C","","","","","",""
"IRLR7843TRPBF","T1, T2, T3, T4, T5, T6","TO-252-3","IRLR7843TRPBF","6","14,41 TRY","https://www.ozdisan.com/guc-yari-iletkenleri/mosfetler/mosfet-discrete/IRLR7843TRPBF","","","","","",""
"ATMEGA88PA-AU","U1","TQFP32(ATMEGA88)","ATMEGA88PA-AU","1","33,63 TRY","","","","","","https://ozdisan.com/entegre-devreler-ics/embedded-entegreler/mikroislemciler/ATMEGA88PA-AU",""
"TC427COA","U2, U3, U4","SOIC-8","TC427COA","3","20,56 TRY","","","","","","","https://ozdisan.com/entegre-devreler-ics/guc-entegreleri/guc-surucu-entegreleri/TC427COA"
"AS-16.000-16-SMD-TR","Y1","AS-16.000-16-SMD-TR","AS-16.000-16-SMD-TR","1","1.95 TRY","","https://ozdisan.com/Product/Detail/40446/AS-16-000-16-SMD-TR","","","","",""
